Token           Lexeme         
------------------------------
separator       $$             
keyword         function       
identifier      main           
separator       (              
separator       )              
separator       {              
keyword         integer        
identifier      i              
separator       ;              
keyword         real           
identifier      total          
separator       ;              
keyword         boolean        
identifier      done           
separator       ;              
identifier      i              
operator        =              
integer         0              
separator       ;              
identifier      total          
operator        =              
real            0.0            
separator       ;              
identifier      done           
operator        =              
keyword         false          
separator       ;              
keyword         while          
separator       (              
identifier      done           
operator        =              
keyword         false          
separator       )              
separator       {              
keyword         scan           
separator       (              
identifier      i              
separator       )              
separator       ;              
keyword         if             
separator       (              
identifier      i              
operator        <>             
integer         0              
separator       )              
separator       {              
identifier      total          
operator        =              
identifier      total          
operator        +              
identifier      i              
separator       ;              
separator       }              
keyword         else           
separator       {              
identifier      done           
operator        =              
keyword         true           
separator       ;              
separator       }              
separator       }              
keyword         print          
separator       (              
identifier      total          
separator       )              
separator       ;              
separator       }              
separator       $$             
keyword         function       
identifier      helper         
separator       (              
identifier      value          
keyword         real           
separator       )              
separator       {              
keyword         return         
identifier      value          
operator        >=             
real            100.0          
separator       ;              
separator       }              
unknown         unterminated comment
eof                            
